ts,dst,port,bytes,rtt
1749479751.496213,10.0.0.21,8888,19,0.0671
1749479774.677881,10.0.0.21,8888,19,0.0128
1749479793.191866,10.0.0.21,8888,19,0.0488
1749479811.678554,10.0.0.21,8888,19,0.0746
1749479830.192326,10.0.0.21,8888,19,0.1350
1749479848.575351,10.0.0.21,8888,19,0.0999
1749479867.345359,10.0.0.21,8888,19,0.0702
1749479885.842582,10.0.0.21,8888,19,0.1425
1749479904.213463,10.0.0.21,8888,19,0.0757
1749479922.609824,10.0.0.21,8888,19,0.0706
1749479941.029018,10.0.0.21,8888,19,0.0466
1749479959.643557,10.0.0.21,8888,19,0.1077
1749479975.885767,10.0.0.21,8888,19,0.0814
1749479991.916245,10.0.0.21,8888,19,0.1809
1749480007.757727,10.0.0.21,8888,19,0.1141
1749480024.109936,10.0.0.21,8888,19,0.1713
1749480040.241513,10.0.0.21,8888,19,0.0519
1749480056.094275,10.0.0.21,8888,19,0.0200
1749480072.067907,10.0.0.21,8888,19,0.1095
1749480088.290824,10.0.0.21,8888,19,0.0201
1749480104.313531,10.0.0.21,8888,19,0.0685
1749480120.549496,10.0.0.21,8888,19,0.0622
1749480151.050176,10.0.0.21,8888,19,0.0290
1749480181.915812,10.0.0.21,8888,19,0.0744
1749480212.443423,10.0.0.21,8888,19,0.0597
1749480242.882960,10.0.0.21,8888,19,0.0998
1749480273.794570,10.0.0.21,8888,19,0.0643
1749480304.720426,10.0.0.21,8888,19,0.0877
1749480335.190919,10.0.0.21,8888,19,0.0423
1749480365.939447,10.0.0.21,8888,19,0.3215
1749480396.255154,10.0.0.21,8888,19,0.0940
1749480426.773712,10.0.0.21,8888,19,0.0668
1749480450.594471,10.0.0.21,8888,19,0.2804
1749480473.567044,10.0.0.21,8888,19,0.0728
1749480497.171497,10.0.0.21,8888,19,0.1748
1749480520.221967,10.0.0.21,8888,19,0.0319
1749480543.799011,10.0.0.21,8888,19,0.0147
1749480567.512817,10.0.0.21,8888,19,0.1869
1749480591.124434,10.0.0.21,8888,19,0.2232
1749480614.564019,10.0.0.21,8888,19,0.1239
1749480638.130895,10.0.0.21,8888,19,0.2094
1749480661.558773,10.0.0.21,8888,19,0.0254
1749480681.091759,10.0.0.21,8888,19,0.0271
1749480701.143783,10.0.0.21,8888,19,0.0827
1749480721.096900,10.0.0.21,8888,19,0.0908
1749480740.738008,10.0.0.21,8888,19,0.1131
1749480760.247822,10.0.0.21,8888,19,0.0552
1749480779.820737,10.0.0.21,8888,19,0.0955
1749480799.386027,10.0.0.21,8888,19,0.1428
1749480819.132117,10.0.0.21,8888,19,0.0571
1749480839.045190,10.0.0.21,8888,19,0.0823
