ts,dst,port,bytes,rtt
1749485845.341066,10.0.0.21,8888,19,0.0748
1749485859.873794,10.0.0.21,8888,19,0.0950
1749485874.202899,10.0.0.21,8888,19,0.2055
1749485888.625489,10.0.0.21,8888,19,0.1467
1749485902.451380,10.0.0.21,8888,19,0.1839
1749485916.173302,10.0.0.21,8888,19,0.0927
1749485929.526954,10.0.0.21,8888,19,0.0214
1749485942.611920,10.0.0.21,8888,19,0.0393
1749485955.335747,10.0.0.21,8888,19,0.0525
1749485968.532717,10.0.0.21,8888,19,0.1519
1749485982.995116,10.0.0.21,8888,19,0.1068
1749485996.392210,10.0.0.21,8888,19,0.0811
1749486010.163691,10.0.0.21,8888,19,0.0644
1749486023.470873,10.0.0.21,8888,19,0.2836
1749486044.833187,10.0.0.21,8888,19,0.0661
1749486067.816375,10.0.0.21,8888,19,0.0351
1749486089.129087,10.0.0.21,8888,19,0.0521
1749486112.211578,10.0.0.21,8888,19,0.0712
1749486134.684088,10.0.0.21,8888,19,0.0429
1749486156.579227,10.0.0.21,8888,19,0.0435
1749486178.189903,10.0.0.21,8888,19,0.0591
1749486200.982460,10.0.0.21,8888,19,0.1277
1749486223.419008,10.0.0.21,8888,19,0.1763
1749486244.667905,10.0.0.21,8888,19,0.1202
1749486262.764112,10.0.0.21,8888,19,0.1481
1749486279.998693,10.0.0.21,8888,19,0.1713
1749486298.327830,10.0.0.21,8888,19,0.1774
1749486316.248870,10.0.0.21,8888,19,0.2213
1749486334.054680,10.0.0.21,8888,19,0.0511
1749486352.700646,10.0.0.21,8888,19,0.2341
1749486370.337923,10.0.0.21,8888,19,0.0893
1749486387.480776,10.0.0.21,8888,19,0.0705
1749486405.406566,10.0.0.21,8888,19,0.1438
1749486423.239459,10.0.0.21,8888,19,0.0528
1749486439.163312,10.0.0.21,8888,19,0.0384
1749486454.624109,10.0.0.21,8888,19,0.2257
1749486470.058859,10.0.0.21,8888,19,0.0755
1749486486.048715,10.0.0.21,8888,19,0.1097
1749486501.130514,10.0.0.21,8888,19,0.0109
1749486516.271997,10.0.0.21,8888,19,0.0554
1749486532.662175,10.0.0.21,8888,19,0.0457
1749486548.853605,10.0.0.21,8888,19,0.1707
1749486564.596748,10.0.0.21,8888,19,0.1271
1749486580.296191,10.0.0.21,8888,19,0.1816
1749486596.194278,10.0.0.21,8888,19,0.0579
1749486612.201821,10.0.0.21,8888,19,0.0644
1749486628.502799,10.0.0.21,8888,19,0.0563
1749486644.572451,10.0.0.21,8888,19,0.1308
1749486660.892355,10.0.0.21,8888,19,0.1428
1749486677.405139,10.0.0.21,8888,19,0.2627
1749486693.560127,10.0.0.21,8888,19,0.0991
1749486709.585825,10.0.0.21,8888,19,0.1853
1749486725.399710,10.0.0.21,8888,19,0.0653
1749486741.515312,10.0.0.21,8888,19,0.1913
1749486755.563445,10.0.0.21,8888,19,0.0690
1749486769.272819,10.0.0.21,8888,19,0.0186
1749486783.129859,10.0.0.21,8888,19,0.1050
1749486796.886442,10.0.0.21,8888,19,0.0884
1749486810.644261,10.0.0.21,8888,19,0.0474
1749486824.365002,10.0.0.21,8888,19,0.0396
1749486838.417967,10.0.0.21,8888,19,0.2338
1749486852.079561,10.0.0.21,8888,19,0.0692
1749486865.844090,10.0.0.21,8888,19,0.0478
1749486879.266970,10.0.0.21,8888,19,0.0379
1749486891.597068,10.0.0.21,8888,19,0.0656
1749486904.116024,10.0.0.21,8888,19,0.2883
1749486916.185468,10.0.0.21,8888,19,0.0862
1749486928.432547,10.0.0.21,8888,19,0.0477
1749486941.480056,10.0.0.21,8888,19,0.0244
1749486953.871376,10.0.0.21,8888,19,0.1387
1749486966.344508,10.0.0.21,8888,19,0.2749
1749486978.470449,10.0.0.21,8888,19,0.1193
1749486991.102654,10.0.0.21,8888,19,0.0989
1749487003.840224,10.0.0.21,8888,19,0.1611
1749487026.663193,10.0.0.21,8888,19,0.0902
1749487049.951789,10.0.0.21,8888,19,0.0605
1749487073.828618,10.0.0.21,8888,19,0.2336
1749487097.387532,10.0.0.21,8888,19,0.0557
1749487120.821160,10.0.0.21,8888,19,0.1595
1749487143.828211,10.0.0.21,8888,19,0.2080
1749487167.009916,10.0.0.21,8888,19,0.1201
1749487189.953598,10.0.0.21,8888,19,0.1147
1749487213.265151,10.0.0.21,8888,19,0.0749
1749487236.932187,10.0.0.21,8888,19,0.1226
1749487255.370587,10.0.0.21,8888,19,0.0502
1749487274.101208,10.0.0.21,8888,19,0.1501
1749487293.028908,10.0.0.21,8888,19,0.1869
1749487311.482719,10.0.0.21,8888,19,0.1260
1749487330.007310,10.0.0.21,8888,19,0.1886
1749487348.443277,10.0.0.21,8888,19,0.0571
1749487367.153152,10.0.0.21,8888,19,0.2001
1749487385.640758,10.0.0.21,8888,19,0.1387
1749487404.560812,10.0.0.21,8888,19,0.1263
1749487423.369124,10.0.0.21,8888,19,0.0611
1749487439.461243,10.0.0.21,8888,19,0.0976
1749487455.063457,10.0.0.21,8888,19,0.0789
1749487471.100388,10.0.0.21,8888,19,0.1051
1749487487.170246,10.0.0.21,8888,19,0.1080
1749487503.198180,10.0.0.21,8888,19,0.0873
1749487519.249674,10.0.0.21,8888,19,0.1124
1749487535.539670,10.0.0.21,8888,19,0.1322
1749487551.158427,10.0.0.21,8888,19,0.1100
1749487567.333513,10.0.0.21,8888,19,0.2872
1749487583.466948,10.0.0.21,8888,19,0.1356
1749487614.415600,10.0.0.21,8888,19,0.0940
1749487645.133293,10.0.0.21,8888,19,0.0800
1749487675.818724,10.0.0.21,8888,19,0.1659
1749487706.037255,10.0.0.21,8888,19,0.2047
1749487736.941293,10.0.0.21,8888,19,0.0709
1749487767.508375,10.0.0.21,8888,19,0.0559
1749487797.924128,10.0.0.21,8888,19,0.0732
1749487828.856636,10.0.0.21,8888,19,0.0343
1749487859.480285,10.0.0.21,8888,19,0.1739
1749487889.968786,10.0.0.21,8888,19,0.0525
1749487913.318759,10.0.0.21,8888,19,0.0640
1749487936.777094,10.0.0.21,8888,19,0.1364
1749487959.773515,10.0.0.21,8888,19,0.1039
1749487982.601309,10.0.0.21,8888,19,0.1056
1749488006.313630,10.0.0.21,8888,19,0.3427
1749488029.318476,10.0.0.21,8888,19,0.0612
1749488052.308505,10.0.0.21,8888,19,0.0927
1749488075.640426,10.0.0.21,8888,19,0.1047
1749488099.159836,10.0.0.21,8888,19,0.2778
1749488121.955683,10.0.0.21,8888,19,0.1731
1749488141.569236,10.0.0.21,8888,19,0.1068
1749488161.251085,10.0.0.21,8888,19,0.0983
1749488180.917789,10.0.0.21,8888,19,0.0714
1749488200.679405,10.0.0.21,8888,19,0.1421
1749488220.216405,10.0.0.21,8888,19,0.1001
1749488239.719840,10.0.0.21,8888,19,0.2612
1749488259.162540,10.0.0.21,8888,19,0.0674
1749488278.734424,10.0.0.21,8888,19,0.0477
1749488298.762023,10.0.0.21,8888,19,0.0422
